date,PUC
2019-12-31,2829.0
2020-12-31,3145.0
2021-12-31,3641.0
2022-12-31,2194.0
2023-12-31,1867.0
2024-12-31,1278.0
2025-12-31,4663.0
2026-12-31,1336.0
2027-12-31,2985.0
2028-12-31,4183.0
2029-12-31,3153.0
2030-12-31,4280.0
2031-12-31,1967.0
2032-12-31,4035.0
2033-12-31,2238.0
2034-12-31,3778.0
2035-12-31,2128.0
2036-12-31,1434.0
2037-12-31,1454.0
2038-12-31,2716.0
2039-12-31,6526.0
2040-12-31,3375.0
2041-12-31,1813.0
2042-12-31,1258.0
2043-12-31,5269.0
2044-12-31,4324.0
2045-12-31,7513.0
2046-12-31,3200.0
2047-12-31,1527.0
2048-12-31,1908.0
2049-12-31,1511.0
2050-12-31,1215.0
2051-12-31,4245.0
2052-12-31,4205.0
2053-12-31,2666.0
2054-12-31,1077.0
2055-12-31,4479.0
2056-12-31,2071.0
2057-12-31,1928.0
2058-12-31,6346.0
2059-12-31,4432.0
2060-12-31,5031.0
2061-12-31,1816.0
2062-12-31,2132.0
2063-12-31,4034.0
2064-12-31,5535.0
2065-12-31,3111.0
2066-12-31,3775.0
2067-12-31,3489.0
2068-12-31,1634.0
2069-12-31,2085.0
2070-12-31,2644.0
2071-12-31,2430.0
2072-12-31,3728.0
2073-12-31,3351.0
2074-12-31,5071.0
2075-12-31,6244.0
2076-12-31,3589.0
2077-12-31,1673.0
2078-12-31,6428.0
2079-12-31,1536.0
2080-12-31,2137.0
2081-12-31,3492.0
2082-12-31,2563.0
2083-12-31,3613.0
2084-12-31,4478.0
2085-12-31,2419.0
2086-12-31,4394.0
2087-12-31,2753.0
2088-12-31,2583.0
2089-12-31,2492.0
2090-12-31,3657.0
2091-12-31,3075.0
2092-12-31,2517.0
2093-12-31,3897.0
2094-12-31,3773.0
2095-12-31,1990.0
2096-12-31,2934.0
2097-12-31,9002.0
2098-12-31,3123.0
2099-12-31,7837.0
