,PUC
2019,1271.2
2020,2072.1
2021,1135.5
2022,854.9
2023,712.8399999999999
2024,1239.7
2025,780.1
2026,861.8000000000001
2027,882.4000000000001
2028,1204.8
2029,1261.0
2030,753.6
2031,359.69999999999993
2032,662.5
2033,597.82
2034,481.0
2035,1222.9
2036,1504.3
2037,1387.9
2038,321.01
2039,822.4
2040,1008.4000000000001
2041,1692.0000000000002
2042,892.2
2043,367.97
2044,270.32000000000005
2045,374.39
2046,1020.1999999999999
2047,633.41
2048,849.1
2049,341.69
2050,711.3700000000001
2051,832.7
2052,895.2
2053,824.4000000000001
2054,1181.7000000000003
2055,1073.7
2056,473.75
2057,277.04999999999995
2058,490.67
2059,426.6700000000001
2060,1190.3
2061,774.0000000000001
2062,1072.3000000000002
2063,715.9000000000001
2064,772.3999999999999
2065,865.3
2066,818.8
2067,949.3000000000001
2068,377.41
2069,2273.6
2070,1601.7
2071,1135.3
2072,601.7399999999999
2073,715.86
2074,957.4
2075,1079.3000000000002
2076,526.1
2077,1414.9
2078,960.5
2079,798.2
2080,1160.0
2081,581.54
2082,683.98
2083,438.09000000000003
2084,647.06
2085,666.4
2086,1204.5
2087,709.08
2088,870.4
2089,1160.6000000000001
2090,767.6
2091,1720.1999999999998
2092,739.3
2093,679.62
2094,718.1300000000001
2095,1327.2
2096,578.4399999999999
2097,594.54
2098,716.5799999999999
2099,608.0400000000001
