,PUC
2019,1271.2
2020,1674.8999999999999
2021,848.8
2022,109.57000000000001
2023,834.6
2024,385.97999999999996
2025,383.36999999999995
2026,1008.0000000000001
2027,585.7
2028,416.53000000000003
2029,173.69
2030,344.52
2031,73.877
2032,0.0
2033,243.93
2034,0.0
2035,79.64
2036,147.39
2037,0.0
2038,326.15999999999997
2039,1388.6
2040,1266.0
2041,343.13
2042,998.0999999999999
2043,1505.6999999999996
2044,1391.9
2045,1053.1
2046,1203.6
2047,558.96
2048,463.90000000000003
2049,1913.7999999999997
2050,403.19000000000005
2051,990.5999999999999
2052,1039.9
2053,267.0
2054,596.8600000000001
2055,0.15522999999999998
2056,672.56
2057,1648.6000000000001
2058,661.77
2059,0.0
2060,0.0
2061,593.6600000000001
2062,1717.5000000000002
2063,806.1
2064,1161.3
2065,1585.1000000000001
2066,379.14000000000004
2067,2228.1
2068,2499.5
2069,305.68999999999994
2070,1565.3
2071,1180.8000000000002
2072,1865.8999999999999
2073,1681.5
2074,1051.9
2075,1723.3
2076,1364.1
2077,1896.8000000000004
2078,1087.3
2079,698.58
2080,437.49
2081,351.28999999999996
2082,175.30999999999997
2083,155.34999999999997
2084,1455.7
2085,3066.1000000000004
2086,1297.6999999999998
2087,927.5999999999999
2088,1294.0
2089,2373.1
2090,981.8
2091,547.63
2092,2479.7
2093,2532.1
2094,2152.2000000000003
2095,2392.6
2096,1567.6
2097,625.0799999999999
2098,842.0
2099,1479.7
