,PUC
2019,1271.2
2020,1912.9999999999998
2021,1685.8999999999999
2022,740.8000000000001
2023,335.47
2024,712.77
2025,852.9
2026,1832.4
2027,460.7
2028,520.7499999999999
2029,770.6
2030,2013.7999999999997
2031,807.1
2032,1291.6
2033,507.15000000000003
2034,55.754999999999995
2035,377.52
2036,469.85999999999996
2037,362.2
2038,170.45000000000002
2039,262.68
2040,1272.1999999999998
2041,995.5999999999999
2042,2166.0
2043,1911.2999999999997
2044,1206.2
2045,1439.8000000000002
2046,2481.4000000000005
2047,805.5
2048,465.82000000000005
2049,232.15999999999997
2050,0.0
2051,0.0
2052,488.3
2053,33.159000000000006
2054,302.14
2055,585.29
2056,1339.1999999999998
2057,1039.0
2058,377.08
2059,38.566
2060,2323.4
2061,2571.1999999999994
2062,2714.6
2063,1611.0
2064,1130.4
2065,934.5999999999999
2066,1377.3
2067,935.4
2068,865.6999999999999
2069,1408.3999999999999
2070,1789.9
2071,1320.4
2072,1678.8
2073,745.4000000000001
2074,1115.1000000000001
2075,1315.9999999999998
2076,298.75
2077,237.24
2078,303.82
2079,372.98
2080,952.6
2081,1136.5
2082,947.5999999999999
2083,2234.7999999999997
2084,1018.3000000000001
2085,446.88
2086,311.72
2087,138.06
2088,1493.1
2089,1029.6999999999998
2090,1938.4999999999998
2091,776.9000000000001
2092,71.50200000000001
2093,687.1800000000001
2094,1977.6
2095,1392.1
2096,410.08
2097,1661.2
2098,922.0
2099,2146.2999999999997
