,PUC
2019,1271.2
2020,1077.0
2021,476.29
2022,638.0699999999999
2023,120.85
2024,990.9000000000001
2025,515.95
2026,894.9000000000001
2027,281.96000000000004
2028,857.1
2029,796.8000000000001
2030,293.65
2031,304.31
2032,892.9000000000001
2033,231.4
2034,246.04
2035,922.6000000000001
2036,1372.6000000000001
2037,572.46
2038,1625.0
2039,1354.0000000000002
2040,1041.8
2041,414.96999999999997
2042,215.62
2043,1200.3999999999999
2044,454.64
2045,149.38
2046,1446.5
2047,799.5
2048,217.53
2049,157.34
2050,3.2896
2051,157.64000000000001
2052,309.71999999999997
2053,162.84
2054,1178.1999999999998
2055,347.85
2056,1137.2
2057,841.4999999999999
2058,770.4
2059,222.35999999999999
2060,1825.3000000000002
2061,1438.5
2062,306.13
2063,440.52
2064,1401.7
2065,1110.4
2066,853.2
2067,982.3999999999999
2068,1211.0
2069,461.36
2070,1157.6
2071,273.84999999999997
2072,518.3100000000001
2073,1218.3
2074,382.30999999999995
2075,481.27
2076,306.58
2077,581.46
2078,611.9300000000001
2079,2301.0
2080,1105.6999999999998
2081,2971.1000000000004
2082,1341.2
2083,578.05
2084,425.35
2085,0.0
2086,563.1999999999999
2087,476.01
2088,1808.5
2089,1171.2
2090,292.29999999999995
2091,215.45999999999998
2092,820.4
2093,781.1
2094,827.1000000000001
2095,574.3399999999999
2096,1190.2
2097,615.18
2098,1068.1
2099,402.56999999999994
