,PUC
2019,1271.2
2020,1591.2
2021,845.7
2022,133.67
2023,1419.6999999999998
2024,1364.1
2025,1266.9999999999998
2026,651.49
2027,217.38
2028,35.426
2029,782.4999999999999
2030,499.63000000000005
2031,728.3
2032,130.77
2033,537.12
2034,0.0
2035,908.4000000000001
2036,1034.6
2037,1015.8000000000002
2038,1936.6000000000001
2039,1994.7
2040,1015.3
2041,349.34000000000003
2042,105.50999999999999
2043,5.5387
2044,2167.2
2045,860.7
2046,0.24395
2047,1232.5
2048,669.05
2049,1328.3
2050,769.0999999999999
2051,303.78
2052,821.5999999999999
2053,931.3000000000001
2054,546.53
2055,761.3
2056,1281.8999999999999
2057,1198.4
2058,335.42
2059,724.18
2060,750.2999999999998
2061,665.4699999999999
2062,563.1800000000001
2063,323.84
2064,621.15
2065,1194.8
2066,548.6899999999999
2067,290.71
2068,863.7
2069,73.178
2070,613.2
2071,908.9999999999999
2072,595.8499999999999
2073,238.32
2074,194.52
2075,10.47804
2076,30.446
2077,1547.5
2078,1782.5999999999997
2079,1527.9
2080,734.3999999999999
2081,845.1
2082,1401.3
2083,370.25
2084,747.5
2085,444.64
2086,661.12
2087,766.9000000000001
2088,164.0
2089,0.38988
2090,0.0
2091,284.21999999999997
2092,106.50999999999999
2093,459.02
2094,1202.0
2095,989.5999999999999
2096,525.8800000000001
2097,869.0999999999999
2098,417.88
2099,846.5
