,PUC
2019,1271.2
2020,1766.3
2021,817.1999999999999
2022,568.05
2023,260.84000000000003
2024,1015.7
2025,450.31999999999994
2026,751.4
2027,1143.6
2028,537.6700000000001
2029,565.1300000000001
2030,778.9
2031,414.34
2032,692.74
2033,922.6999999999999
2034,1278.6
2035,719.8
2036,242.07999999999998
2037,505.77
2038,535.1100000000001
2039,942.9999999999999
2040,451.55999999999995
2041,185.14
2042,104.91
2043,289.08
2044,0.0
2045,286.7
2046,212.32999999999998
2047,416.47
2048,369.55000000000007
2049,388.55
2050,70.989
2051,65.99000000000001
2052,193.69
2053,253.92000000000002
2054,444.59
2055,295.27
2056,131.4
2057,0.0
2058,199.7
2059,464.02000000000004
2060,1116.8
2061,583.5999999999999
2062,645.3
2063,41.147999999999996
2064,302.01
2065,492.57000000000005
2066,356.77
2067,579.3599999999999
2068,252.11
2069,243.8
2070,526.24
2071,224.19999999999996
2072,651.16
2073,324.65999999999997
2074,167.43
2075,144.10999999999999
2076,324.04999999999995
2077,569.08
2078,247.03999999999996
2079,319.09
2080,212.61
2081,400.37000000000006
2082,0.0
2083,184.23999999999998
2084,538.73
2085,424.24
2086,369.89000000000004
2087,274.57
2088,351.96000000000004
2089,172.07
2090,245.94
2091,256.63
2092,0.09528
2093,318.04
2094,0.0
2095,368.21
2096,721.1999999999999
2097,602.21
2098,125.18
2099,746.4000000000001
