,PUC
2019,1271.2
2020,2084.9
2021,649.27
2022,399.41999999999996
2023,300.41999999999996
2024,2396.8
2025,1177.1
2026,1642.9
2027,501.51
2028,1702.3999999999999
2029,1050.7
2030,857.4999999999999
2031,319.08000000000004
2032,264.78
2033,1273.3
2034,2920.7999999999997
2035,1868.2
2036,759.24
2037,2285.2000000000003
2038,1326.2
2039,2412.3999999999996
2040,1189.6999999999998
2041,327.43
2042,371.56
2043,344.94999999999993
2044,0.0
2045,168.12
2046,225.96
2047,480.01
2048,1142.6
2049,2591.0
2050,1492.8000000000002
2051,1922.5000000000002
2052,571.6500000000001
2053,199.20999999999998
2054,4134.5
2055,2269.1
2056,2502.2
2057,3014.3
2058,1004.8
2059,1275.5000000000002
2060,667.83
2061,883.8000000000001
2062,870.3
2063,220.14
2064,125.86000000000001
2065,15.357
2066,1655.0
2067,1402.5
2068,69.07900000000001
2069,269.18
2070,696.58
2071,1046.8
2072,1453.3
2073,2248.8999999999996
2074,1720.3000000000002
2075,1084.5
2076,238.47
2077,579.82
2078,1825.1
2079,1161.0
2080,391.62
2081,1498.1
2082,1504.8999999999999
2083,1333.7
2084,1095.8
2085,635.37
2086,1519.2
2087,706.17
2088,1267.8999999999999
2089,767.6
2090,2213.9
2091,1248.8
2092,314.90999999999997
2093,1320.1000000000001
2094,3345.0000000000005
2095,2841.8999999999996
2096,849.7
2097,572.37
2098,3222.4
2099,988.5999999999999
