,PUC
2019,1271.2
2020,2457.2000000000003
2021,1093.1
2022,672.25
2023,1800.0
2024,1284.8999999999999
2025,1651.6000000000001
2026,975.9
2027,529.8299999999999
2028,635.64
2029,470.72999999999996
2030,350.40000000000003
2031,595.41
2032,1047.4
2033,1169.4
2034,650.45
2035,1180.0
2036,846.4000000000001
2037,424.83
2038,438.08000000000004
2039,533.74
2040,829.6999999999999
2041,660.71
2042,980.6999999999999
2043,570.98
2044,826.7
2045,347.84000000000003
2046,215.35999999999999
2047,251.87
2048,123.65
2049,937.8000000000001
2050,784.7
2051,220.89000000000001
2052,1311.5
2053,1170.4
2054,596.69
2055,331.18
2056,99.49000000000001
2057,0.0
2058,50.914
2059,405.01
2060,374.07
2061,331.62
2062,493.73999999999995
2063,699.24
2064,215.38
2065,400.2900000000001
2066,143.58
2067,578.3100000000001
2068,364.98
2069,631.1500000000001
2070,436.65000000000003
2071,145.85
2072,234.74999999999997
2073,2.1671
2074,753.88
2075,218.66
2076,39.122
2077,666.75
2078,1211.5
2079,476.7799999999999
2080,127.59
2081,311.04999999999995
2082,141.2
2083,152.95
2084,427.13
2085,408.73999999999995
2086,982.3000000000002
2087,465.71
2088,697.4399999999999
2089,702.5799999999999
2090,757.2
2091,667.5600000000001
2092,258.14
2093,652.78
2094,751.4399999999999
2095,491.26000000000005
2096,157.57999999999998
2097,387.03999999999996
2098,457.58000000000004
2099,1723.6
