,PUC
2019,1271.2
2020,2675.6
2021,1838.6
2022,1211.4
2023,1182.5
2024,492.24999999999994
2025,1306.9999999999998
2026,1398.3
2027,961.0
2028,959.0999999999999
2029,880.8
2030,527.03
2031,1048.3
2032,1075.8
2033,2180.4
2034,967.9999999999999
2035,1212.6
2036,791.6
2037,1717.8
2038,1013.6999999999999
2039,866.9999999999999
2040,318.96000000000004
2041,192.3
2042,1108.3
2043,351.49
2044,513.3100000000001
2045,1102.8000000000002
2046,1126.3
2047,988.8
2048,1101.7
2049,734.8
2050,1368.3
2051,1263.1
2052,405.12999999999994
2053,1305.5
2054,1255.3000000000002
2055,674.99
2056,683.2800000000001
2057,684.99
2058,216.26
2059,453.16999999999996
2060,1155.9
2061,760.1999999999999
2062,321.76
2063,1134.0
2064,767.7
2065,333.53
2066,824.3000000000001
2067,1444.0
2068,955.8
2069,966.8
2070,1017.4999999999999
2071,556.5400000000001
2072,879.5
2073,887.7
2074,985.9
2075,640.9100000000001
2076,1819.1
2077,1332.3
2078,1617.8999999999999
2079,1281.4
2080,1356.5
2081,2419.3999999999996
2082,1652.5999999999997
2083,776.05
2084,889.6999999999999
2085,1615.5
2086,149.86
2087,1853.4
2088,805.6000000000001
2089,1149.5
2090,353.71000000000004
2091,1534.5
2092,1383.5
2093,2153.8999999999996
2094,2246.8999999999996
2095,2973.3
2096,1518.1999999999998
2097,2265.5
2098,1620.0
2099,1030.3999999999999
