,PFlow.csv
2019,1271.2
2020,1067.2
2021,272.98
2022,332.56999999999994
2023,95.39999999999999
2024,184.02
2025,175.49
2026,523.76
2027,166.95
2028,93.08
2029,1315.1
2030,1003.2
2031,708.73
2032,345.15
2033,262.67
2034,99.35000000000001
2035,20.694
2036,301.33
2037,833.4
2038,551.57
2039,897.6999999999999
2040,7.907500000000001
2041,237.59000000000003
2042,769.1
2043,809.4
2044,1121.7
2045,498.25
2046,935.0999999999999
2047,521.24
2048,27.043000000000006
2049,376.41999999999996
2050,657.76
2051,452.59
2052,682.5699999999999
2053,156.03
2054,71.24000000000001
2055,108.22999999999999
2056,735.4
2057,324.55
2058,120.39
2059,0.128
2060,617.6800000000001
2061,1056.7
2062,1603.5
2063,1378.6
2064,770.8000000000001
2065,918.4000000000001
2066,1035.1
2067,836.4
2068,134.13
2069,104.57
2070,434.52
2071,572.37
2072,917.3
2073,298.77
2074,694.5
2075,482.88999999999993
2076,632.4300000000001
2077,1062.0
2078,1312.7
2079,720.1000000000001
2080,630.5699999999999
2081,851.0
2082,393.41999999999996
2083,459.29
2084,934.8
2085,948.8
2086,1022.2
2087,310.77
2088,539.3899999999999
2089,695.58
2090,566.28
2091,171.16
2092,2.4771
2093,319.29999999999995
2094,346.21999999999997
2095,420.0
2096,122.33
2097,931.1999999999999
2098,370.9800000000001
2099,1251.2
