,PFlow.csv
2019,1271.2
2020,2284.6
2021,666.6400000000001
2022,227.74
2023,2053.3
2024,1162.9999999999998
2025,1121.3
2026,2175.6
2027,1358.5
2028,1430.6000000000001
2029,845.6999999999999
2030,1595.8999999999999
2031,10.602599999999999
2032,234.73
2033,672.45
2034,358.29999999999995
2035,279.35
2036,32.058
2037,0.0
2038,852.6999999999999
2039,541.15
2040,733.6
2041,305.65
2042,1641.7
2043,868.5
2044,647.3499999999999
2045,398.14
2046,220.02999999999997
2047,1181.5
2048,494.69000000000005
2049,523.5
2050,498.3
2051,518.55
2052,0.0
2053,0.0
2054,175.79999999999998
2055,149.19
2056,66.51
2057,0.0
2058,60.077
2059,170.92000000000002
2060,1261.0
2061,1477.2
2062,1898.9999999999998
2063,416.94
2064,581.92
2065,736.6400000000001
2066,389.56
2067,0.0
2068,41.138
2069,0.0
2070,340.63
2071,157.45
2072,1138.9
2073,491.46000000000004
2074,479.6700000000001
2075,863.4000000000001
2076,337.25
2077,408.55
2078,88.179
2079,779.4
2080,287.59999999999997
2081,25.692
2082,1722.5
2083,1364.3
2084,1694.2999999999997
2085,1599.6000000000001
2086,932.9000000000001
2087,427.33000000000004
2088,316.24
2089,4.0213
2090,181.42
2091,331.98
2092,926.0
2093,1113.1
2094,1426.0
2095,854.3
2096,400.42
2097,396.42
2098,144.17000000000002
2099,194.27
