,PFlow.csv
2019,1271.2
2020,2523.3
2021,1420.2999999999997
2022,1381.2
2023,730.7299999999999
2024,499.23
2025,922.6
2026,493.1
2027,455.71000000000004
2028,1473.3
2029,1068.3000000000002
2030,860.0
2031,775.1
2032,1305.1000000000001
2033,500.09
2034,508.13000000000005
2035,703.9599999999999
2036,985.8000000000001
2037,1371.6999999999998
2038,2420.0000000000005
2039,1129.5
2040,442.56
2041,400.98
2042,632.4399999999999
2043,1061.8000000000002
2044,695.44
2045,438.33
2046,842.3
2047,770.31
2048,355.47999999999996
2049,716.79
2050,908.8
2051,1330.6999999999998
2052,1066.0
2053,216.1
2054,1072.9
2055,516.47
2056,782.4000000000001
2057,678.1899999999999
2058,1529.2
2059,1221.7
2060,1200.3000000000002
2061,552.02
2062,495.71
2063,599.62
2064,807.0
2065,1537.4
2066,644.78
2067,1112.8
2068,1824.3999999999999
2069,782.9000000000001
2070,845.8000000000001
2071,393.12
2072,1175.2
2073,374.65000000000003
2074,103.35
2075,249.44
2076,609.13
2077,342.60999999999996
2078,640.1800000000001
2079,443.17
2080,449.96000000000004
2081,609.22
2082,581.6800000000001
2083,879.5
2084,707.26
2085,1858.6999999999998
2086,2108.2999999999997
2087,1484.3999999999999
2088,924.4
2089,1037.7
2090,573.81
2091,418.39
2092,575.6800000000001
2093,732.85
2094,840.2
2095,1528.6
2096,788.3000000000001
2097,1214.9999999999998
2098,1410.3
2099,458.80999999999995
