,PFlow.csv
2019,1271.2
2020,1570.2999999999997
2021,781.5999999999999
2022,193.67000000000002
2023,0.0
2024,315.66
2025,932.8
2026,508.29
2027,671.6199999999999
2028,196.78
2029,749.4499999999999
2030,386.40999999999997
2031,220.71
2032,313.15999999999997
2033,96.36
2034,303.66
2035,377.66999999999996
2036,1071.5
2037,481.61
2038,355.76
2039,453.98
2040,176.31
2041,440.48
2042,652.94
2043,188.3
2044,0.0
2045,304.66
2046,139.89
2047,307.51
2048,469.13999999999993
2049,3.0709
2050,29.176000000000002
2051,121.92999999999999
2052,925.1
2053,623.7499999999999
2054,647.26
2055,474.07
2056,593.55
2057,50.649
2058,353.65999999999997
2059,130.81
2060,619.2900000000001
2061,302.98
2062,639.85
2063,425.15
2064,381.76
2065,238.56
2066,198.8
2067,187.40000000000003
2068,0.10651
2069,230.26000000000002
2070,587.77
2071,297.59000000000003
2072,36.325
2073,397.14000000000004
2074,161.01
2075,220.70999999999998
2076,501.12
2077,472.26
2078,438.24
2079,78.105
2080,268.31
2081,0.0
2082,28.100999999999996
2083,382.66
2084,7.8178
2085,473.07
2086,70.989
2087,178.66
2088,145.31
2089,305.23
2090,203.23
2091,0.0
2092,12.843300000000001
2093,247.29
2094,266.68
2095,569.2
2096,0.0
2097,0.0
2098,316.29999999999995
2099,736.5
