date,PFlow.csv
2019-12-31,2829.0
2020-12-31,3426.0
2021-12-31,1944.0
2022-12-31,3637.0
2023-12-31,5098.0
2024-12-31,2159.0
2025-12-31,5922.0
2026-12-31,2330.0
2027-12-31,2394.0
2028-12-31,2873.0
2029-12-31,4992.0
2030-12-31,1224.0
2031-12-31,3375.0
2032-12-31,3674.0
2033-12-31,8663.0
2034-12-31,3347.0
2035-12-31,2010.0
2036-12-31,1566.0
2037-12-31,4252.0
2038-12-31,4368.0
2039-12-31,2002.0
2040-12-31,1253.0
2041-12-31,3116.0
2042-12-31,4740.0
2043-12-31,3724.0
2044-12-31,2317.0
2045-12-31,3286.0
2046-12-31,4177.0
2047-12-31,4017.0
2048-12-31,2156.0
2049-12-31,2979.0
2050-12-31,5008.0
2051-12-31,1585.0
2052-12-31,2873.0
2053-12-31,9905.0
2054-12-31,3950.0
2055-12-31,2903.0
2056-12-31,4766.0
2057-12-31,3656.0
2058-12-31,3947.0
2059-12-31,3499.0
2060-12-31,2746.0
2061-12-31,5534.0
2062-12-31,3706.0
2063-12-31,6965.0
2064-12-31,1838.0
2065-12-31,2289.0
2066-12-31,4984.0
2067-12-31,3641.0
2068-12-31,2571.0
2069-12-31,942.9
2070-12-31,2407.0
2071-12-31,7449.0
2072-12-31,2210.0
2073-12-31,794.4
2074-12-31,2050.0
2075-12-31,5113.0
2076-12-31,6916.0
2077-12-31,2503.0
2078-12-31,2168.0
2079-12-31,3199.0
2080-12-31,4761.0
2081-12-31,2209.0
2082-12-31,2784.0
2083-12-31,2828.0
2084-12-31,1324.0
2085-12-31,4587.0
2086-12-31,5395.0
2087-12-31,5157.0
2088-12-31,2951.0
2089-12-31,6443.0
2090-12-31,5838.0
2091-12-31,5212.0
2092-12-31,2463.0
2093-12-31,3617.0
2094-12-31,3425.0
2095-12-31,2536.0
2096-12-31,2703.0
2097-12-31,2922.0
2098-12-31,1634.0
2099-12-31,3997.0
