,PFlow.csv
2019,1271.2
2020,2674.3
2021,1518.8999999999999
2022,1313.3999999999999
2023,1026.5
2024,663.1399999999999
2025,1052.3999999999999
2026,1040.3
2027,505.64
2028,489.12000000000006
2029,2032.1999999999998
2030,1743.6
2031,1360.1000000000001
2032,1711.1
2033,1493.2
2034,608.77
2035,1125.5
2036,1134.9
2037,2389.7
2038,2112.8
2039,1606.4
2040,595.28
2041,637.97
2042,710.0
2043,803.1999999999999
2044,1059.4
2045,1946.0
2046,1029.1000000000001
2047,2303.8999999999996
2048,2073.8999999999996
2049,502.68
2050,2099.5
2051,2084.2
2052,983.2
2053,1184.0
2054,326.32
2055,522.74
2056,1635.6000000000001
2057,474.77
2058,806.5
2059,1459.6
2060,1000.4
2061,873.3
2062,843.6
2063,2407.9
2064,2044.1999999999998
2065,1892.8
2066,715.64
2067,1303.8999999999999
2068,1733.5000000000002
2069,760.5999999999999
2070,793.8999999999999
2071,649.05
2072,473.02
2073,1191.9
2074,372.40999999999997
2075,617.16
2076,750.5
2077,1118.3999999999999
2078,863.1999999999999
2079,989.5
2080,661.1800000000001
2081,336.69
2082,1051.2
2083,1396.1999999999998
2084,554.6700000000001
2085,769.6999999999999
2086,647.2199999999999
2087,325.20000000000005
2088,1099.3
2089,530.4699999999999
2090,1204.8
2091,1229.6
2092,2448.5
2093,1795.8000000000002
2094,2768.3
2095,1746.8999999999999
2096,801.4999999999999
2097,1777.1000000000004
2098,2728.6
2099,4576.3
