,PFlow.csv
2019,1271.2
2020,2395.0
2021,1620.5999999999997
2022,1088.9
2023,1086.8999999999999
2024,606.61
2025,455.11
2026,1327.2
2027,468.93999999999994
2028,402.98
2029,171.5
2030,24.076999999999995
2031,304.58
2032,582.3199999999999
2033,544.72
2034,674.1699999999998
2035,725.1999999999999
2036,729.98
2037,701.51
2038,405.57
2039,69.99
2040,541.18
2041,1142.1
2042,564.28
2043,342.99
2044,645.25
2045,931.3999999999999
2046,379.84
2047,391.38999999999993
2048,1203.8999999999999
2049,582.04
2050,1782.5
2051,1700.8000000000002
2052,1399.3
2053,1061.5
2054,511.6
2055,339.52
2056,420.95000000000005
2057,845.6
2058,441.5
2059,1317.6000000000001
2060,1055.1
2061,1316.6000000000001
2062,1339.6999999999998
2063,1296.4
2064,788.9000000000001
2065,655.2099999999999
2066,1349.8
2067,479.0200000000001
2068,642.64
2069,548.06
2070,1406.2
2071,325.57
2072,319.96999999999997
2073,548.8000000000001
2074,187.41
2075,399.3
2076,168.08999999999997
2077,168.15999999999997
2078,464.39000000000004
2079,1530.3999999999999
2080,1406.1000000000001
2081,515.78
2082,1133.7
2083,575.0300000000001
2084,1791.3999999999996
2085,928.0
2086,536.06
2087,728.1800000000001
2088,966.3
2089,890.3000000000001
2090,1565.6999999999998
2091,543.62
2092,442.17
2093,1710.8
2094,1836.4
2095,2154.5
2096,1124.0
2097,589.1899999999999
2098,972.9
2099,637.98
