,PFlow.csv
2019,1271.2
2020,1869.4
2021,513.67
2022,139.12
2023,1010.3
2024,749.3000000000001
2025,360.21000000000004
2026,295.91
2027,703.98
2028,643.74
2029,607.81
2030,1701.1
2031,782.8000000000001
2032,1493.7
2033,1688.1000000000001
2034,589.73
2035,816.3000000000001
2036,0.0
2037,135.84
2038,354.85
2039,1224.8
2040,204.25
2041,84.171
2042,867.1
2043,487.66
2044,318.61
2045,494.98
2046,1204.6
2047,1088.1000000000001
2048,725.4499999999999
2049,21.415999999999997
2050,641.44
2051,986.4000000000001
2052,916.7999999999998
2053,1011.9
2054,3203.0
2055,1105.6
2056,1347.4
2057,1565.2
2058,1545.2
2059,1821.6999999999998
2060,1196.5000000000002
2061,773.8000000000001
2062,849.9
2063,794.3000000000001
2064,1273.9
2065,515.49
2066,1088.1
2067,1920.8999999999999
2068,1294.3
2069,703.5200000000001
2070,392.82
2071,5.2917
2072,334.88000000000005
2073,172.03
2074,0.0
2075,50.586
2076,2030.8
2077,425.48999999999995
2078,1225.0
2079,910.5
2080,101.53999999999999
2081,1004.0999999999999
2082,235.87
2083,27.224999999999998
2084,185.5
2085,161.41
2086,1664.4
2087,3848.0000000000005
2088,3346.5
2089,2077.6
2090,1097.0
2091,828.3000000000001
2092,2390.9999999999995
2093,1888.4
2094,1979.7999999999997
2095,2162.7
2096,820.5
2097,1330.5000000000002
2098,879.6999999999998
2099,342.46000000000004
