,PFlow.csv
2019,1271.2
2020,2399.0
2021,828.7000000000002
2022,930.0000000000001
2023,540.67
2024,2604.1
2025,1798.6000000000001
2026,1117.3
2027,1450.3000000000002
2028,992.3
2029,887.5999999999999
2030,354.97
2031,266.74
2032,640.35
2033,835.4
2034,1071.7
2035,1344.1000000000001
2036,950.1
2037,2263.8
2038,1245.1
2039,460.90999999999997
2040,590.86
2041,2201.7
2042,1035.5
2043,650.8500000000001
2044,1755.5
2045,939.6999999999999
2046,984.5999999999999
2047,399.14
2048,712.75
2049,1507.9999999999998
2050,736.5999999999999
2051,648.81
2052,1313.3999999999999
2053,753.8
2054,178.79
2055,594.53
2056,886.1
2057,1323.9
2058,1189.3
2059,1599.0000000000002
2060,1613.3
2061,2825.9
2062,1465.8000000000002
2063,912.9999999999999
2064,553.2199999999999
2065,694.52
2066,606.66
2067,580.31
2068,997.8
2069,982.0999999999999
2070,1369.1
2071,875.3999999999999
2072,1014.6000000000001
2073,622.3100000000001
2074,1219.3
2075,611.4100000000001
2076,689.95
2077,1178.1999999999998
2078,373.37999999999994
2079,248.99
2080,1361.5
2081,625.0799999999999
2082,480.84
2083,900.4999999999999
2084,121.83000000000001
2085,562.06
2086,428.11
2087,2787.8
2088,1762.0
2089,1739.6
2090,982.6
2091,2270.7000000000003
2092,1383.8
2093,2903.0
2094,1823.5
2095,1360.8
2096,748.63
2097,944.6
2098,679.0899999999999
2099,1123.7
