,PFlow.csv
2019,1271.2
2020,1795.7
2021,1286.7
2022,745.04
2023,858.7
2024,1550.6
2025,985.7
2026,947.4
2027,410.24999999999994
2028,265.03000000000003
2029,1123.4
2030,924.0
2031,1463.1000000000001
2032,754.4
2033,531.13
2034,425.42
2035,1182.4999999999998
2036,988.6999999999999
2037,742.0
2038,754.8199999999999
2039,703.36
2040,750.5999999999999
2041,528.95
2042,1519.7
2043,35.001999999999995
2044,766.7
2045,513.75
2046,643.8
2047,935.2
2048,1150.3999999999999
2049,572.92
2050,859.6
2051,438.36
2052,945.2
2053,319.96000000000004
2054,632.0300000000001
2055,736.2099999999999
2056,184.92
2057,627.89
2058,5.734
2059,507.48
2060,501.44000000000005
2061,47.099000000000004
2062,747.6999999999999
2063,1430.3
2064,1507.1
2065,388.85
2066,1110.7
2067,502.9
2068,781.49
2069,769.3000000000001
2070,547.3599999999999
2071,487.33000000000004
2072,388.09999999999997
2073,1066.0
2074,776.6
2075,390.09000000000003
2076,1007.3
2077,682.52
2078,1323.3
2079,388.0000000000001
2080,377.31
2081,623.6700000000001
2082,815.3
2083,1414.7
2084,559.3800000000001
2085,533.4300000000001
2086,571.64
2087,1511.6000000000001
2088,2589.4
2089,1479.2
2090,798.5
2091,317.67999999999995
2092,819.2
2093,530.48
2094,940.8
2095,645.6700000000001
2096,747.6899999999999
2097,808.5
2098,540.88
2099,330.27
